org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/semanticresultformats.pp,0,0,14,3,0,0,2,3,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/featuredfeeds.pp,0,0,6,0,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/math.pp,0,0,11,1,0,0,1,1,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/mirage.pp,1,0,10,0,0,0,1,2,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/simple_performant.pp,1,1,60,4,1,3,20,19,7,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/warnings_as_errors.pp,0,0,7,0,0,0,1,2,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/twnmainpage.pp,0,0,17,0,0,1,3,4,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/unlinkedwikibase.pp,1,0,7,0,0,0,0,1,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/categorytree.pp,1,0,8,0,0,0,0,1,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/disambiguator.pp,0,0,6,0,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/psr3.pp,0,0,16,3,0,0,5,6,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/geodata.pp,0,0,10,0,0,0,2,1,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/betafeatures.pp,0,0,8,0,0,0,2,1,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/loginnotify.pp,0,0,5,0,0,1,0,1,1,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/wikimediamaintenance.pp,0,0,7,0,0,0,0,1,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/offline.pp,2,0,16,1,0,0,2,4,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/commons_datasets.pp,1,0,17,0,0,2,1,2,7,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/mysql_strict.pp,1,0,14,0,0,0,2,2,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/wikidata.pp,1,0,102,1,0,3,26,32,24,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/globalblocking.pp,1,0,65,4,1,0,14,20,20,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/restbase.pp,1,0,61,1,0,4,11,10,24,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/centralnotice.pp,0,0,20,0,0,2,8,6,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/oathauth.pp,2,0,18,0,0,0,4,4,7,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/centralauth.pp,0,2,135,5,2,2,31,47,31,0,1,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/poem.pp,0,0,5,0,0,0,0,1,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/mediawiki.pp,0,0,25,4,0,2,0,4,10,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/wikimediaincubator.pp,1,0,6,0,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/revisionslider.pp,0,0,6,0,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/varnish.pp,1,0,19,0,0,1,1,8,7,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/maps.pp,0,0,11,2,0,0,2,3,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/wikidiff2.pp,0,0,6,0,0,0,0,1,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/geshi.pp,0,0,7,0,0,1,0,0,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/wikibasecirrussearch.pp,0,0,12,0,0,2,1,1,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/liquidthreads.pp,0,0,14,0,0,2,3,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/mathoid.pp,1,0,12,0,0,1,1,2,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/xanalytics.pp,0,0,6,0,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/newusermessage.pp,0,0,5,0,0,0,0,1,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/apparmor.pp,0,0,8,0,0,1,0,0,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/securepoll.pp,0,0,18,1,0,0,2,4,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/xhprofgui.pp,0,0,21,0,0,1,1,8,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/advancedsearch.pp,0,0,5,0,0,1,0,1,1,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/cargo.pp,0,0,33,2,2,0,13,6,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/interwiki.pp,0,0,11,0,0,0,1,2,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/scribunto.pp,0,0,24,1,0,2,3,10,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/parsermigration.pp,0,0,7,0,0,0,0,1,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/headertabs.pp,0,0,9,1,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/wikimediaevents.pp,0,0,14,0,0,3,1,3,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/googlelogin.pp,1,0,17,0,0,0,3,3,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/oauth.pp,2,4,85,3,1,1,26,27,8,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/pagedtiffhandler.pp,1,0,16,1,0,1,3,5,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/navigationtiming.pp,0,0,12,0,0,1,2,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/addlink.pp,2,3,144,10,3,2,54,49,22,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/bcmath.pp,1,0,18,1,0,1,4,6,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/campaigns.pp,1,0,11,0,0,1,0,2,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/pipeescape.pp,0,0,11,1,0,0,0,1,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/specialnamespaces.pp,0,0,8,0,0,0,1,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/quiz.pp,0,0,7,0,0,1,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/modern.pp,1,0,6,0,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/codeeditor.pp,0,0,8,0,0,1,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/flaggedrevs.pp,0,0,16,1,0,0,3,3,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/gpgmail.pp,0,0,9,0,0,0,1,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/buggy.pp,0,0,11,0,0,0,1,3,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/charinsert.pp,1,0,9,0,0,0,0,1,5,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/easytimeline.pp,0,0,13,0,0,0,1,6,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/katsa.pp,1,0,19,1,0,2,4,5,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/https.pp,0,2,75,2,1,0,19,31,11,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/mediasearch.pp,0,0,10,0,0,1,3,2,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/proofreadpage.pp,0,0,37,1,0,3,6,20,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/wikieditor.pp,0,0,11,0,0,0,1,3,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/dumps.pp,0,0,35,0,0,2,11,12,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/expect.pp,1,0,18,1,0,2,4,5,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/wikispeech.pp,0,0,6,0,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/raita.pp,2,2,62,5,0,4,15,22,13,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/wikimediaflow.pp,0,0,24,1,0,9,2,5,4,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/parserfunctions.pp,0,0,6,0,0,0,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/cldr.pp,0,0,13,0,0,0,1,2,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/labeledsectiontransclusion.pp,0,0,6,0,0,1,0,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/fileannotations.pp,0,0,10,0,0,1,1,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/externalguidance.pp,1,0,22,0,0,2,4,3,6,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/graphql.pp,0,0,14,0,0,1,2,3,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/commons.pp,0,0,38,1,0,3,7,11,7,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/externalstore.pp,0,0,36,2,0,1,8,14,7,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/addimage.pp,2,4,82,4,1,1,19,23,26,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/quips.pp,1,1,41,2,1,1,9,10,13,0,1,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/urlshortener.pp,0,0,18,1,0,1,4,5,2,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/hitcounters.pp,0,0,8,0,0,0,1,1,3,0,0,0
WIKIMEDIA,mediawiki-vagrant/puppet/modules/role/manifests/confirmedit.pp,0,1,53,4,1,0,17,23,6,0,0,0
